id,task_type,src,dst,label
node_912,node,912,-1,3
node_916,node,916,-1,3
node_929,node,929,-1,2
node_930,node,930,-1,2
node_931,node,931,-1,5
node_932,node,932,-1,0
node_937,node,937,-1,4
node_941,node,941,-1,2
node_942,node,942,-1,3
node_944,node,944,-1,0
node_945,node,945,-1,5
node_949,node,949,-1,4
node_952,node,952,-1,0
node_958,node,958,-1,4
node_965,node,965,-1,3
node_976,node,976,-1,2
node_978,node,978,-1,0
node_979,node,979,-1,4
node_986,node,986,-1,3
node_998,node,998,-1,1
node_1000,node,1000,-1,5
node_1005,node,1005,-1,4
node_1011,node,1011,-1,4
node_1014,node,1014,-1,0
node_1018,node,1018,-1,1
node_1023,node,1023,-1,2
node_1025,node,1025,-1,3
node_1029,node,1029,-1,5
node_1034,node,1034,-1,5
node_1037,node,1037,-1,1
node_1041,node,1041,-1,0
node_1044,node,1044,-1,3
node_1047,node,1047,-1,0
node_1048,node,1048,-1,2
node_1053,node,1053,-1,0
node_1058,node,1058,-1,5
node_1061,node,1061,-1,3
node_1064,node,1064,-1,5
node_1068,node,1068,-1,3
node_1071,node,1071,-1,5
node_1073,node,1073,-1,6
node_1075,node,1075,-1,4
node_1078,node,1078,-1,1
node_1080,node,1080,-1,1
node_1083,node,1083,-1,0
node_1084,node,1084,-1,0
node_1087,node,1087,-1,2
node_1091,node,1091,-1,3
node_1093,node,1093,-1,3
node_1102,node,1102,-1,2
node_1106,node,1106,-1,0
node_1110,node,1110,-1,2
node_1114,node,1114,-1,4
node_1117,node,1117,-1,0
node_1124,node,1124,-1,6
node_1125,node,1125,-1,0
node_1134,node,1134,-1,2
node_1146,node,1146,-1,3
node_1151,node,1151,-1,2
node_1159,node,1159,-1,4
node_1161,node,1161,-1,3
node_1174,node,1174,-1,3
node_1185,node,1185,-1,2
node_1192,node,1192,-1,3
node_1199,node,1199,-1,4
node_1208,node,1208,-1,3
node_1211,node,1211,-1,3
node_1213,node,1213,-1,6
node_1216,node,1216,-1,0
node_1222,node,1222,-1,5
node_1225,node,1225,-1,3
node_1229,node,1229,-1,4
node_1231,node,1231,-1,3
node_1234,node,1234,-1,0
node_1241,node,1241,-1,4
node_1247,node,1247,-1,0
node_1251,node,1251,-1,4
node_1253,node,1253,-1,2
node_1259,node,1259,-1,3
node_1261,node,1261,-1,3
node_1263,node,1263,-1,3
node_1264,node,1264,-1,0
node_1266,node,1266,-1,3
node_1268,node,1268,-1,6
node_1271,node,1271,-1,2
node_1272,node,1272,-1,4
node_1274,node,1274,-1,4
node_1288,node,1288,-1,5
node_1289,node,1289,-1,2
node_1290,node,1290,-1,2
node_1292,node,1292,-1,2
node_1295,node,1295,-1,0
node_1299,node,1299,-1,6
node_1309,node,1309,-1,1
node_1313,node,1313,-1,3
node_1316,node,1316,-1,6
node_1317,node,1317,-1,2
node_1321,node,1321,-1,2
node_1322,node,1322,-1,5
node_1326,node,1326,-1,1
node_1334,node,1334,-1,0
node_1337,node,1337,-1,3
node_1338,node,1338,-1,3
node_1340,node,1340,-1,3
node_1349,node,1349,-1,0
node_1351,node,1351,-1,2
node_1352,node,1352,-1,4
node_1356,node,1356,-1,5
node_1360,node,1360,-1,3
node_1361,node,1361,-1,5
node_1370,node,1370,-1,6
node_1376,node,1376,-1,6
node_1377,node,1377,-1,3
node_1380,node,1380,-1,0
node_1391,node,1391,-1,6
node_1395,node,1395,-1,3
node_1405,node,1405,-1,1
node_1411,node,1411,-1,4
node_1412,node,1412,-1,4
node_1418,node,1418,-1,3
node_1419,node,1419,-1,5
node_1424,node,1424,-1,2
node_1427,node,1427,-1,3
node_1429,node,1429,-1,1
node_1432,node,1432,-1,2
node_1435,node,1435,-1,3
node_1437,node,1437,-1,6
node_1446,node,1446,-1,5
node_1448,node,1448,-1,1
node_1449,node,1449,-1,0
node_1450,node,1450,-1,1
node_1456,node,1456,-1,5
node_1461,node,1461,-1,2
node_1462,node,1462,-1,3
node_1476,node,1476,-1,2
node_1477,node,1477,-1,3
node_1486,node,1486,-1,5
node_1490,node,1490,-1,1
node_1491,node,1491,-1,4
node_1498,node,1498,-1,2
node_1505,node,1505,-1,4
node_1507,node,1507,-1,0
node_1508,node,1508,-1,4
node_1510,node,1510,-1,3
node_1511,node,1511,-1,6
node_1517,node,1517,-1,0
node_1518,node,1518,-1,6
node_1521,node,1521,-1,3
node_1535,node,1535,-1,1
node_1547,node,1547,-1,0
node_1558,node,1558,-1,6
node_1559,node,1559,-1,3
node_1560,node,1560,-1,1
node_1564,node,1564,-1,0
node_1565,node,1565,-1,0
node_1566,node,1566,-1,6
node_1567,node,1567,-1,6
node_1569,node,1569,-1,0
node_1575,node,1575,-1,0
node_1578,node,1578,-1,3
node_1582,node,1582,-1,3
node_1584,node,1584,-1,3
node_1586,node,1586,-1,3
node_1590,node,1590,-1,2
node_1598,node,1598,-1,5
node_1602,node,1602,-1,3
node_1606,node,1606,-1,5
node_1611,node,1611,-1,1
node_1613,node,1613,-1,5
node_1615,node,1615,-1,4
node_1616,node,1616,-1,2
node_1620,node,1620,-1,6
node_1626,node,1626,-1,1
node_1627,node,1627,-1,2
node_1628,node,1628,-1,3
node_1641,node,1641,-1,4
node_1653,node,1653,-1,3
node_1655,node,1655,-1,3
node_1657,node,1657,-1,4
node_1662,node,1662,-1,0
node_1667,node,1667,-1,3
node_1677,node,1677,-1,4
node_1681,node,1681,-1,6
node_1694,node,1694,-1,5
node_1697,node,1697,-1,3
node_1700,node,1700,-1,3
node_1701,node,1701,-1,3
node_1710,node,1710,-1,0
node_1712,node,1712,-1,3
node_1716,node,1716,-1,1
node_1717,node,1717,-1,3
node_1720,node,1720,-1,2
node_1723,node,1723,-1,5
node_1725,node,1725,-1,4
node_1729,node,1729,-1,4
node_1737,node,1737,-1,3
node_1738,node,1738,-1,5
node_1745,node,1745,-1,3
node_1748,node,1748,-1,0
node_1750,node,1750,-1,6
node_1762,node,1762,-1,2
node_1763,node,1763,-1,0
node_1767,node,1767,-1,0
node_1769,node,1769,-1,6
node_1772,node,1772,-1,0
node_1776,node,1776,-1,4
node_1779,node,1779,-1,4
node_1784,node,1784,-1,3
node_1789,node,1789,-1,5
node_1792,node,1792,-1,3
node_1795,node,1795,-1,5
node_1803,node,1803,-1,5
node_1808,node,1808,-1,5
node_1811,node,1811,-1,1
node_1813,node,1813,-1,2
node_1822,node,1822,-1,4
node_1826,node,1826,-1,1
node_1830,node,1830,-1,5
node_1831,node,1831,-1,5
node_1832,node,1832,-1,6
node_1845,node,1845,-1,5
node_1846,node,1846,-1,1
node_1847,node,1847,-1,2
node_1855,node,1855,-1,5
node_1861,node,1861,-1,4
node_1862,node,1862,-1,3
node_1866,node,1866,-1,3
node_1869,node,1869,-1,1
node_1880,node,1880,-1,0
node_1883,node,1883,-1,4
node_1894,node,1894,-1,2
node_1896,node,1896,-1,5
node_1902,node,1902,-1,2
node_1904,node,1904,-1,3
node_1907,node,1907,-1,0
node_1915,node,1915,-1,4
node_1916,node,1916,-1,3
node_1917,node,1917,-1,4
node_1936,node,1936,-1,4
node_1938,node,1938,-1,3
node_1942,node,1942,-1,3
node_1943,node,1943,-1,6
node_1947,node,1947,-1,3
node_1949,node,1949,-1,6
node_1953,node,1953,-1,5
node_1964,node,1964,-1,1
node_1965,node,1965,-1,3
node_1971,node,1971,-1,3
node_1973,node,1973,-1,3
node_1976,node,1976,-1,1
node_1977,node,1977,-1,3
node_1978,node,1978,-1,0
node_1983,node,1983,-1,0
node_1985,node,1985,-1,3
node_1987,node,1987,-1,0
node_1989,node,1989,-1,5
node_2004,node,2004,-1,5
node_2008,node,2008,-1,1
node_2009,node,2009,-1,3
node_2010,node,2010,-1,5
node_2011,node,2011,-1,0
node_2018,node,2018,-1,4
node_2019,node,2019,-1,6
node_2020,node,2020,-1,3
node_2022,node,2022,-1,4
node_2023,node,2023,-1,1
node_2029,node,2029,-1,2
node_2030,node,2030,-1,3
node_2032,node,2032,-1,1
node_2033,node,2033,-1,1
node_2039,node,2039,-1,3
node_2043,node,2043,-1,6
node_2044,node,2044,-1,5
node_2051,node,2051,-1,2
node_2054,node,2054,-1,6
node_2063,node,2063,-1,4
node_2064,node,2064,-1,3
node_2069,node,2069,-1,5
node_2077,node,2077,-1,3
node_2078,node,2078,-1,3
node_2080,node,2080,-1,3
node_2083,node,2083,-1,3
node_2087,node,2087,-1,3
node_2091,node,2091,-1,1
node_2093,node,2093,-1,0
node_2098,node,2098,-1,3
node_2100,node,2100,-1,3
node_2102,node,2102,-1,2
node_2110,node,2110,-1,5
node_2114,node,2114,-1,3
node_2120,node,2120,-1,3
node_2123,node,2123,-1,0
node_2137,node,2137,-1,2
node_2145,node,2145,-1,3
node_2153,node,2153,-1,4
node_2157,node,2157,-1,3
node_2158,node,2158,-1,1
node_2163,node,2163,-1,6
node_2164,node,2164,-1,0
node_2171,node,2171,-1,4
node_2172,node,2172,-1,3
node_2174,node,2174,-1,1
node_2177,node,2177,-1,3
node_2178,node,2178,-1,4
node_2180,node,2180,-1,3
node_2181,node,2181,-1,3
node_2183,node,2183,-1,5
node_2188,node,2188,-1,0
node_2196,node,2196,-1,3
node_2203,node,2203,-1,2
node_2204,node,2204,-1,3
node_2206,node,2206,-1,4
node_2211,node,2211,-1,3
node_2213,node,2213,-1,6
node_2215,node,2215,-1,6
node_2218,node,2218,-1,1
node_2227,node,2227,-1,2
node_2229,node,2229,-1,6
node_2231,node,2231,-1,4
node_2234,node,2234,-1,5
node_2241,node,2241,-1,5
node_2242,node,2242,-1,3
node_2249,node,2249,-1,4
node_2251,node,2251,-1,5
node_2258,node,2258,-1,3
node_2273,node,2273,-1,3
node_2275,node,2275,-1,4
node_2282,node,2282,-1,2
node_2284,node,2284,-1,3
node_2289,node,2289,-1,3
node_2295,node,2295,-1,5
node_2299,node,2299,-1,4
node_2302,node,2302,-1,3
node_2305,node,2305,-1,5
node_2313,node,2313,-1,6
node_2316,node,2316,-1,0
node_2319,node,2319,-1,5
node_2328,node,2328,-1,2
node_2333,node,2333,-1,5
node_2337,node,2337,-1,3
node_2338,node,2338,-1,6
node_2340,node,2340,-1,4
node_2342,node,2342,-1,3
node_2344,node,2344,-1,2
node_2359,node,2359,-1,3
node_2366,node,2366,-1,5
node_2367,node,2367,-1,2
node_2371,node,2371,-1,6
node_2375,node,2375,-1,2
node_2377,node,2377,-1,1
node_2387,node,2387,-1,5
node_2389,node,2389,-1,3
node_2398,node,2398,-1,0
node_2406,node,2406,-1,4
node_2409,node,2409,-1,2
node_2417,node,2417,-1,3
node_2418,node,2418,-1,5
node_2421,node,2421,-1,3
node_2423,node,2423,-1,2
node_2428,node,2428,-1,3
node_2439,node,2439,-1,1
node_2445,node,2445,-1,3
node_2448,node,2448,-1,0
node_2455,node,2455,-1,1
node_2457,node,2457,-1,3
node_2460,node,2460,-1,4
node_2462,node,2462,-1,3
node_2463,node,2463,-1,3
node_2465,node,2465,-1,3
node_2466,node,2466,-1,2
node_2471,node,2471,-1,4
node_2474,node,2474,-1,3
node_2476,node,2476,-1,3
node_2486,node,2486,-1,2
node_2491,node,2491,-1,3
node_2494,node,2494,-1,5
node_2502,node,2502,-1,2
node_2506,node,2506,-1,2
node_2512,node,2512,-1,2
node_2514,node,2514,-1,2
node_2521,node,2521,-1,0
node_2527,node,2527,-1,5
node_2528,node,2528,-1,5
node_2538,node,2538,-1,6
node_2541,node,2541,-1,2
node_2545,node,2545,-1,2
node_2548,node,2548,-1,2
node_2552,node,2552,-1,5
node_2557,node,2557,-1,6
node_2563,node,2563,-1,2
node_2567,node,2567,-1,5
node_2571,node,2571,-1,3
node_2574,node,2574,-1,4
node_2575,node,2575,-1,3
node_2576,node,2576,-1,2
node_2584,node,2584,-1,1
node_2589,node,2589,-1,3
node_2595,node,2595,-1,1
node_2601,node,2601,-1,4
node_2603,node,2603,-1,5
node_2604,node,2604,-1,0
node_2610,node,2610,-1,4
node_2614,node,2614,-1,4
node_2615,node,2615,-1,1
node_2616,node,2616,-1,0
node_2618,node,2618,-1,4
node_2619,node,2619,-1,4
node_2620,node,2620,-1,5
node_2626,node,2626,-1,2
node_2636,node,2636,-1,4
node_2639,node,2639,-1,1
node_2644,node,2644,-1,3
node_2646,node,2646,-1,3
node_2657,node,2657,-1,4
node_2662,node,2662,-1,3
node_2664,node,2664,-1,5
node_2671,node,2671,-1,4
node_2672,node,2672,-1,3
node_2674,node,2674,-1,1
node_2681,node,2681,-1,3
node_2694,node,2694,-1,3
node_2695,node,2695,-1,5
node_2697,node,2697,-1,6
node_2704,node,2704,-1,4
node_2706,node,2706,-1,4
node_2707,node,2707,-1,0
edge_2149_1894,link,2149,1894,1
edge_224_764,link,224,764,1
edge_62_1546,link,62,1546,1
edge_2370_2247,link,2370,2247,1
edge_1681_468,link,1681,468,1
edge_1253_95,link,1253,95,1
edge_2109_1853,link,2109,1853,1
edge_1671_1814,link,1671,1814,1
edge_1314_1736,link,1314,1736,1
edge_1294_2665,link,1294,2665,1
edge_1511_24,link,1511,24,1
edge_2040_2345,link,2040,2345,1
edge_1157_304,link,1157,304,1
edge_1720_57,link,1720,57,1
edge_2291_7,link,2291,7,1
edge_242_1284,link,242,1284,1
edge_350_138,link,350,138,1
edge_427_1889,link,427,1889,1
edge_1536_949,link,1536,949,1
edge_1436_1805,link,1436,1805,1
edge_1710_2288,link,1710,2288,1
edge_1536_2355,link,1536,2355,1
edge_1547_2093,link,1547,2093,1
edge_337_2222,link,337,2222,1
edge_765_93,link,765,93,1
edge_467_1284,link,467,1284,1
edge_629_424,link,629,424,1
edge_2341_978,link,2341,978,1
edge_1809_626,link,1809,626,1
edge_407_1714,link,407,1714,1
edge_780_2180,link,780,2180,1
edge_1195_1868,link,1195,1868,1
edge_1740_2026,link,1740,2026,1
edge_1710_622,link,1710,622,1
edge_2121_1929,link,2121,1929,1
edge_1025_777,link,1025,777,1
edge_1225_2497,link,1225,2497,1
edge_1685_30,link,1685,30,1
edge_2381_2633,link,2381,2633,1
edge_572_239,link,572,239,1
edge_2090_1728,link,2090,1728,1
edge_1376_2501,link,1376,2501,1
edge_2435_2177,link,2435,2177,1
edge_997_2124,link,997,2124,1
edge_1600_2388,link,1600,2388,1
edge_176_1135,link,176,1135,1
edge_774_915,link,774,915,1
edge_2129_1602,link,2129,1602,1
edge_213_1872,link,213,1872,1
edge_1160_1284,link,1160,1284,1
edge_789_1959,link,789,1959,1
edge_1526_1835,link,1526,1835,1
edge_998_1737,link,998,1737,1
edge_2437_2388,link,2437,2388,1
edge_2116_359,link,2116,359,1
edge_1284_134,link,1284,134,1
edge_949_204,link,949,204,1
edge_1343_1577,link,1343,1577,1
edge_895_612,link,895,612,1
edge_1134_2512,link,1134,2512,1
edge_1434_1677,link,1434,1677,1
edge_1872_576,link,1872,576,1
edge_360_1809,link,360,1809,1
edge_805_777,link,805,777,1
edge_1332_1216,link,1332,1216,1
edge_2577_1523,link,2577,1523,1
edge_2427_788,link,2427,788,1
edge_1745_1284,link,1745,1284,1
edge_1363_140,link,1363,140,1
edge_189_41,link,189,41,1
edge_2274_595,link,2274,595,1
edge_1458_427,link,1458,427,1
edge_1696_1980,link,1696,1980,1
edge_1476_2203,link,1476,2203,1
edge_2303_2629,link,2303,2629,1
edge_668_1497,link,668,1497,1
edge_1543_359,link,1543,359,1
edge_985_2577,link,985,2577,1
edge_174_2622,link,174,2622,1
edge_948_2485,link,948,2485,1
edge_573_1438,link,573,1438,1
edge_1252_1818,link,1252,1818,1
edge_142_664,link,142,664,1
edge_1310_856,link,1310,856,1
edge_2563_1472,link,2563,1472,1
edge_2480_105,link,2480,105,1
edge_1332_993,link,1332,993,1
edge_1986_1915,link,1986,1915,1
edge_831_1648,link,831,1648,1
edge_2118_2330,link,2118,2330,1
edge_1749_401,link,1749,401,1
edge_1200_385,link,1200,385,1
edge_1425_892,link,1425,892,1
edge_1284_1756,link,1284,1756,1
edge_1532_742,link,1532,742,1
edge_766_1902,link,766,1902,1
edge_2417_1284,link,2417,1284,1
edge_1340_1665,link,1340,1665,1
edge_1874_1197,link,1874,1197,1
edge_1194_1494,link,1194,1494,1
edge_1117_528,link,1117,528,1
edge_309_996,link,309,996,1
edge_1693_1045,link,1693,1045,1
edge_1508_2345,link,1508,2345,1
edge_291_1366,link,291,1366,1
edge_6_974,link,6,974,1
edge_1172_814,link,1172,814,1
edge_1648_831,link,1648,831,1
edge_1279_84,link,1279,84,1
edge_856_327,link,856,327,1
edge_261_1801,link,261,1801,1
edge_2007_973,link,2007,973,1
edge_2086_1835,link,2086,1835,1
edge_105_2322,link,105,2322,1
edge_2400_1628,link,2400,1628,1
edge_457_1349,link,457,1349,1
edge_587_2349,link,587,2349,1
edge_158_61,link,158,61,1
edge_319_653,link,319,653,1
edge_1983_1187,link,1983,1187,1
edge_787_2573,link,787,2573,1
edge_1640_2334,link,1640,2334,1
edge_411_199,link,411,199,1
edge_1951_617,link,1951,617,1
edge_2477_1964,link,2477,1964,1
edge_21_1277,link,21,1277,1
edge_1674_623,link,1674,623,1
edge_2466_2577,link,2466,2577,1
edge_2584_448,link,2584,448,1
edge_1768_1913,link,1768,1913,1
edge_1795_386,link,1795,386,1
edge_823_1260,link,823,1260,1
edge_1517_40,link,1517,40,1
edge_1421_2538,link,1421,2538,1
edge_1427_52,link,1427,52,1
edge_111_52,link,111,52,1
edge_2584_68,link,2584,68,1
edge_1379_2061,link,1379,2061,1
edge_1895_16,link,1895,16,1
edge_707_1082,link,707,1082,1
edge_2238_1398,link,2238,1398,1
edge_711_1141,link,711,1141,1
edge_897_167,link,897,167,1
edge_1568_2199,link,1568,2199,1
edge_1850_535,link,1850,535,1
edge_1364_1332,link,1364,1332,1
edge_578_1028,link,578,1028,1
edge_507_222,link,507,222,1
edge_2067_2584,link,2067,2584,1
edge_2138_755,link,2138,755,1
edge_1932_991,link,1932,991,1
edge_1846_2477,link,1846,2477,1
edge_2315_924,link,2315,924,1
edge_483_2476,link,483,2476,1
edge_521_1774,link,521,1774,1
edge_802_230,link,802,230,1
edge_560_1204,link,560,1204,1
edge_454_127,link,454,127,1
edge_294_1210,link,294,1210,1
edge_2092_1164,link,2092,1164,1
edge_1247_1385,link,1247,1385,1
edge_949_32,link,949,32,1
edge_219_1237,link,219,1237,1
edge_314_1093,link,314,1093,1
edge_1772_720,link,1772,720,1
edge_621_495,link,621,495,1
edge_708_2691,link,708,2691,1
edge_2276_468,link,2276,468,1
edge_1584_352,link,1584,352,1
edge_2288_1710,link,2288,1710,1
edge_882_1540,link,882,1540,1
edge_1072_742,link,1072,742,1
edge_2526_1063,link,2526,1063,1
edge_1430_427,link,1430,427,1
edge_232_1973,link,232,1973,1
edge_1898_471,link,1898,471,1
edge_439_1729,link,439,1729,1
edge_1752_1087,link,1752,1087,1
edge_1696_2072,link,1696,2072,1
edge_1544_1382,link,1544,1382,1
edge_2226_2048,link,2226,2048,1
edge_621_2662,link,621,2662,1
edge_804_1306,link,804,1306,1
edge_2358_52,link,2358,52,1
edge_553_1271,link,553,1271,1
edge_1387_754,link,1387,754,1
edge_2271_2386,link,2271,2386,1
edge_1753_2263,link,1753,2263,1
edge_358_601,link,358,601,1
edge_1202_2577,link,1202,2577,1
edge_167_897,link,167,897,1
edge_58_1645,link,58,1645,1
edge_1624_1696,link,1624,1696,1
edge_1667_1225,link,1667,1225,1
edge_1325_1791,link,1325,1791,1
edge_239_1190,link,239,1190,1
edge_986_171,link,986,171,1
edge_2557_1670,link,2557,1670,1
edge_1386_2509,link,1386,2509,1
edge_234_2474,link,234,2474,1
edge_1202_614,link,1202,614,1
edge_2290_1733,link,2290,1733,1
edge_2156_2432,link,2156,2432,1
edge_275_654,link,275,654,1
edge_2590_1222,link,2590,1222,1
edge_419_804,link,419,804,1
edge_1325_1006,link,1325,1006,1
edge_2408_1425,link,2408,1425,1
edge_1422_1106,link,1422,1106,1
edge_1616_2475,link,1616,2475,1
edge_941_442,link,941,442,1
edge_1710_1537,link,1710,1537,1
edge_1288_1710,link,1288,1710,1
edge_2584_1223,link,2584,1223,1
edge_1357_1595,link,1357,1595,1
edge_2159_2371,link,2159,2371,1
edge_777_2312,link,777,2312,1
edge_611_1215,link,611,1215,1
edge_2229_1172,link,2229,1172,1
edge_106_1266,link,106,1266,1
edge_2358_386,link,2358,386,1
edge_1697_2505,link,1697,2505,1
edge_1358_801,link,1358,801,1
edge_826_1730,link,826,1730,1
edge_2158_2639,link,2158,2639,1
edge_1205_97,link,1205,97,1
edge_21_1321,link,21,1321,1
edge_2617_2223,link,2617,2223,1
edge_1061_1475,link,1061,1475,1
edge_1523_1318,link,1523,1318,1
edge_2065_850,link,2065,850,1
edge_364_1043,link,364,1043,1
edge_712_2479,link,712,2479,1
edge_1097_1831,link,1097,1831,1
edge_2136_2251,link,2136,2251,1
edge_963_2674,link,963,2674,1
edge_417_458,link,417,458,1
edge_279_1936,link,279,1936,1
edge_427_1458,link,427,1458,1
edge_2479_712,link,2479,712,1
edge_2186_1151,link,2186,1151,1
edge_187_619,link,187,619,1
edge_243_2633,link,243,2633,1
edge_838_1574,link,838,1574,1
edge_629_2295,link,629,2295,1
edge_1710_649,link,1710,649,1
edge_1010_2548,link,1010,2548,1
edge_155_388,link,155,388,1
edge_2024_584,link,2024,584,1
edge_2001_1169,link,2001,1169,1
edge_1446_2664,link,1446,2664,1
edge_1699_1425,link,1699,1425,1
edge_55_1392,link,55,1392,1
edge_991_1932,link,991,1932,1
edge_1041_491,link,1041,491,1
edge_2251_2136,link,2251,2136,1
edge_2439_52,link,2439,52,1
edge_927_1305,link,927,1305,1
edge_389_1617,link,389,1617,1
edge_2303_2529,link,2303,2529,1
edge_201_2548,link,201,2548,1
edge_1890_255,link,1890,255,1
edge_1499_2651,link,1499,2651,1
edge_1655_1086,link,1655,1086,1
edge_360_2164,link,360,2164,1
edge_1169_1686,link,1169,1686,1
edge_1655_1646,link,1655,1646,1
edge_4_733,link,4,733,1
edge_701_1181,link,701,1181,1
edge_2669_1675,link,2669,1675,1
edge_368_437,link,368,437,1
edge_2388_1770,link,2388,1770,1
edge_124_2501,link,124,2501,1
edge_2206_482,link,2206,482,1
edge_958_2301,link,958,2301,1
edge_717_2098,link,717,2098,1
